Id,Label,Level,Seed,In-Degree,Out-Degree,Degree,Modularity Class,modularity edit,Modularity size,Modularity label,Color,Colornodes
civic technology,Civic technology,0,true,0,1,1,6,99,100,Query,#36D8B4,
didi kuaidi,Didi Kuaidi,0,true,0,0,0,1,99,100,Query,#36D8B4,
lyft,Lyft,0,true,4,1,5,2,99,100,Query,#36D8B4,
ola cabs,Ola Cabs,0,true,1,0,1,3,99,100,Query,#36D8B4,
wework,WeWork,0,true,0,0,0,4,99,100,Query,#36D8B4,
homeaway,HomeAway,0,true,7,0,7,2,99,100,Query,#36D8B4,
prosper marketplace,Prosper Marketplace,0,true,0,1,1,5,99,100,Query,#36D8B4,
corporate scandal,Corporate scandal,1,false,8,6,14,12,12,1,Corporation scandal cases,365CD8,
multinational monitor,Multinational Monitor,1,false,3,3,6,12,12,1,Corporation scandal cases,365CD8,
corporate crime,Corporate crime,0,false,2,1,3,12,12,1,Corporation scandal cases,365CD8,
criticisms of corporations,Criticisms of corporations,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
multinational corporation,Multinational corporation,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
agency cost,Agency cost,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
center for audit quality,Center for Audit Quality,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
global settlement,Global settlement,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
subprime mortgage crisis,Subprime mortgage crisis,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
white collar crime,White collar crime,2,false,1,0,1,12,12,1,Corporation scandal cases,365CD8,
corporatocracy,Corporatocracy,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
roberto calvi,Roberto Calvi,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
mci inc.,MCI Inc.,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
hafskip,Hafskip,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
national kidney foundation singapore scandal,National Kidney Foundation Singapore scandal,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
european home retail,European Home Retail,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
accounting scandals,Accounting scandals,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
anti-corporate activism,Anti-corporate activism,0,false,0,1,1,12,12,1,Corporation scandal cases,365CD8,
almighty dollar,Almighty dollar,1,false,6,0,6,13,13,1,Critical theories,#7436D8,
one-dimensional man,One-Dimensional Man,1,false,5,9,14,13,13,1,Critical theories,#7436D8,
repressive desublimation,Repressive desublimation,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
totalitarian democracy,Totalitarian democracy,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
minority rights,Minority rights,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
j. l. talmon,J. L. Talmon,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
drux flux,Drux Flux,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
critical theory,Critical theory,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
criticism of capitalism,Criticism of capitalism,0,false,1,1,2,13,13,1,Critical theories,#7436D8,
inverted totalitarianism,Inverted totalitarianism,2,false,1,0,1,13,13,1,Critical theories,#7436D8,
superficiality,Superficiality,0,false,1,1,2,13,13,1,Critical theories,#7436D8,
anti-capitalism,Anti-capitalism,0,false,0,2,2,13,13,1,Critical theories,#7436D8,
big business,Big business,0,false,0,1,1,13,13,1,Critical theories,#7436D8,
the pen is mightier than the sword,The pen is mightier than the sword,0,false,0,1,1,13,13,1,Critical theories,#7436D8,
love of money,Love of money,0,false,0,1,1,13,13,1,Critical theories,#7436D8,
media bias,Media bias,0,false,0,1,1,13,13,1,Critical theories,#7436D8,
low culture,Low culture,0,false,0,1,1,13,13,1,Critical theories,#7436D8,
doublethink,Doublethink,0,false,0,1,1,13,13,1,Critical theories,#7436D8,
summon (company),Summon (company),1,false,3,1,4,2,2,1,Transportation/housing companies,,
sidecar (company),Sidecar (company),-1,false,1,2,3,2,2,1,Transportation/housing companies,,
legal status of uber's service,Legal status of Uber's service,1,false,1,0,1,2,2,1,Transportation/housing companies,,
timeline of uber,Timeline of Uber,1,false,2,0,2,2,2,1,Transportation/housing companies,,
illegal taxicab operation,Illegal taxicab operation,-1,false,0,1,1,2,2,1,Transportation/housing companies,,
taxicab,Taxicab,-1,false,0,1,1,2,2,1,Transportation/housing companies,,
zimride,Zimride,-1,false,0,6,6,2,2,1,Transportation/housing companies,,
holiday cottage,Holiday cottage,-1,false,0,2,2,2,2,1,Transportation/housing companies,,
vacation rental,Vacation rental,-1,false,0,2,2,2,2,1,Transportation/housing companies,,
peer-to-peer property rental,Peer-to-peer property rental,-1,false,0,2,2,2,2,1,Transportation/housing companies,,
wimdu,Wimdu,-1,false,0,2,2,2,2,1,Transportation/housing companies,,
otalo.com,Otalo.com,-1,false,0,2,2,2,2,1,Transportation/housing companies,,
blablacar,BlaBlaCar,-1,false,0,5,5,2,2,1,Transportation/housing companies,,
dwellable,Dwellable,-1,false,0,2,2,2,2,1,Transportation/housing companies,,
hospitality service,Hospitality service,-1,false,0,1,1,2,2,1,Transportation/housing companies,,
allotment (gardening),Allotment (gardening),-1,false,0,1,1,2,2,1,Transportation/housing companies,,
lift,Lift,-1,false,0,1,1,2,2,1,Transportation/housing companies,,
tom hale,Tom Hale,-1,false,0,1,1,2,2,1,Transportation/housing companies,,
ubereats,Ubereats,0,false,0,1,1,2,2,1,Transportation/housing companies,,
adbusters,Adbusters,1,false,8,12,20,10,10,1,"Advertisement ",,
détournement,Détournement,1,false,8,5,13,10,10,1,"Advertisement ",,
recuperation (politics),Recuperation (politics),2,false,1,0,1,10,10,1,"Advertisement ",,
anti-art,Anti-art,2,false,1,0,1,10,10,1,"Advertisement ",,
comic strip switcheroo,Comic strip switcheroo,2,false,1,0,1,10,10,1,"Advertisement ",,
scratch video,Scratch Video,2,false,1,0,1,10,10,1,"Advertisement ",,
dumb starbucks,Dumb Starbucks,0,false,1,1,2,10,10,1,"Advertisement ",,
ad creep,Ad creep,2,false,1,0,1,10,10,1,"Advertisement ",,
culture jamming,Culture Jamming,0,false,1,1,2,10,10,1,"Advertisement ",,
downhill battle,Downhill Battle,2,false,1,0,1,10,10,1,"Advertisement ",,
engaged buddhism,Engaged Buddhism,2,false,1,0,1,10,10,1,"Advertisement ",,
free culture movement,Free Culture movement,-1,false,2,2,4,10,10,1,"Advertisement ",,
geez magazine,Geez Magazine,2,false,1,0,1,10,10,1,"Advertisement ",,
indymedia,Indymedia,2,false,1,0,1,10,10,1,"Advertisement ",,
no logo,No Logo,0,false,1,1,2,10,10,1,"Advertisement ",,
situationist international,Situationist International,2,false,1,0,1,10,10,1,"Advertisement ",,
stay free!,Stay Free!,0,false,1,1,2,10,10,1,"Advertisement ",,
the yes men,The Yes Men,2,false,1,0,1,10,10,1,"Advertisement ",,
timeline of occupy wall street,Timeline of Occupy Wall Street,2,false,1,0,1,10,10,1,"Advertisement ",,
the monkey wrench gang,The Monkey Wrench Gang,0,false,0,1,1,10,10,1,"Advertisement ",,
guerrilla news network,Guerrilla News Network,0,false,0,1,1,10,10,1,"Advertisement ",,
meme hack,Meme hack,0,false,0,1,1,10,10,1,"Advertisement ",,
holocaust trivialization,Holocaust trivialization,0,false,0,1,1,10,10,1,"Advertisement ",,
do good design,Do Good Design,0,false,0,1,1,10,10,1,"Advertisement ",,
semiotic democracy,Semiotic democracy,0,false,0,1,1,10,10,1,"Advertisement ",,
bricolage,Bricolage,0,false,0,1,1,10,10,1,"Advertisement ",,
kuso,Kuso,0,false,0,1,1,10,10,1,"Advertisement ",,
parody,Parody,0,false,0,1,1,10,10,1,"Advertisement ",,
plagiarism,Plagiarism,0,false,0,1,1,10,10,1,"Advertisement ",,
planned obsolescence,Planned obsolescence,1,false,36,0,36,16,16,1,Planned obsolescence,,
engineering,Engineering,0,false,0,1,1,16,16,1,Planned obsolescence,,
divx,DIVX,0,false,0,1,1,16,16,1,Planned obsolescence,,
feature creep,Feature creep,0,false,0,1,1,16,16,1,Planned obsolescence,,
crippleware,Crippleware,0,false,0,1,1,16,16,1,Planned obsolescence,,
disposable camera,Disposable camera,0,false,0,1,1,16,16,1,Planned obsolescence,,
obsolescence,Obsolescence,0,false,0,1,1,16,16,1,Planned obsolescence,,
end-of-life (product),End-of-life (product),0,false,0,1,1,16,16,1,Planned obsolescence,,
design life,Design life,0,false,0,1,1,16,16,1,Planned obsolescence,,
national consumers league,National Consumers League,0,false,0,1,1,16,16,1,Planned obsolescence,,
product churning,Product churning,0,false,0,1,1,16,16,1,Planned obsolescence,,
service life,Service life,0,false,0,1,1,16,16,1,Planned obsolescence,,
dvd-d,DVD-D,0,false,0,1,1,16,16,1,Planned obsolescence,,
flexplay,Flexplay,0,false,0,1,1,16,16,1,Planned obsolescence,,
continuous obsolescence,Continuous obsolescence,0,false,0,1,1,16,16,1,Planned obsolescence,,
downcycling,Downcycling,0,false,0,1,1,16,16,1,Planned obsolescence,,
future proof,Future proof,0,false,0,1,1,16,16,1,Planned obsolescence,,
throw-away society,Throw-away society,0,false,0,1,1,16,16,1,Planned obsolescence,,
disposable,Disposable,0,false,0,1,1,16,16,1,Planned obsolescence,,
decommissioning,Decommissioning,0,false,0,1,1,16,16,1,Planned obsolescence,,
oldversion.com,OldVersion.com,0,false,0,1,1,16,16,1,Planned obsolescence,,
consumer capitalism,Consumer capitalism,0,false,0,1,1,16,16,1,Planned obsolescence,,
demand,Demand,0,false,0,1,1,16,16,1,Planned obsolescence,,
time bomb (software),Time bomb (software),0,false,0,1,1,16,16,1,Planned obsolescence,,
cradle-to-cradle design,Cradle-to-cradle design,0,false,0,1,1,16,16,1,Planned obsolescence,,
orphaned technology,Orphaned technology,0,false,0,1,1,16,16,1,Planned obsolescence,,
longest-lasting light bulbs,Longest-lasting light bulbs,0,false,0,1,1,16,16,1,Planned obsolescence,,
consumer protection,Consumer protection,0,false,0,1,1,16,16,1,Planned obsolescence,,
the story of stuff,The Story of Stuff,0,false,0,1,1,16,16,1,Planned obsolescence,,
repurposing,Repurposing,0,false,0,1,1,16,16,1,Planned obsolescence,,
rreuse,RREUSE,0,false,0,1,1,16,16,1,Planned obsolescence,,
social justice,Social justice,1,false,3,19,22,21,21,1,Social justice,,
beyond vietnam: a time to break silence,Beyond Vietnam: A Time to Break Silence,2,false,1,0,1,21,21,1,Social justice,,
anti-vietnam war,anti-Vietnam war,2,false,1,0,1,21,21,1,Social justice,,
"martin luther king, jr.","Martin Luther King, Jr.",2,false,1,0,1,21,21,1,Social justice,,
counterculture of the 1960s,Counterculture of the 1960s,2,false,1,0,1,21,21,1,Social justice,,
climate justice,Climate justice,2,false,1,0,1,21,21,1,Social justice,,
environmental justice,Environmental justice,2,false,1,0,1,21,21,1,Social justice,,
labour law,Labour law,2,false,1,0,1,21,21,1,Social justice,,
labour rights,labour rights,2,false,1,0,1,21,21,1,Social justice,,
left-wing politics,Left-wing politics,2,false,1,0,1,21,21,1,Social justice,,
right to education,Right to education,2,false,1,0,1,21,21,1,Social justice,,
right to health,Right to health,2,false,1,0,1,21,21,1,Social justice,,
right to housing,Right to housing,2,false,1,0,1,21,21,1,Social justice,,
right to social security,Right to social security,2,false,1,0,1,21,21,1,Social justice,,
social injustice,Social injustice,2,false,1,0,1,21,21,1,Social justice,,
social justice art,Social justice art,2,false,1,0,1,21,21,1,Social justice,,
social work,Social work,2,false,1,0,1,21,21,1,Social justice,,
solidarity,Solidarity,2,false,1,0,1,21,21,1,Social justice,,
world day of social justice,World Day of Social Justice,2,false,1,0,1,21,21,1,Social justice,,
trust metric,Trust metric,0,false,5,5,10,21,21,1,Social justice,,
subjective logic,Subjective logic,1,false,10,1,11,21,21,1,Social justice,,
evidence-based subjective logic,Evidence-based subjective logic,2,false,1,0,1,21,21,1,Social justice,,
trust (sociology),Trust (sociology),2,false,1,0,1,21,21,1,Social justice,,
trustworthiness,Trustworthiness,2,false,1,0,1,21,21,1,Social justice,,
moderation system,Moderation system,0,false,1,1,2,21,21,1,Social justice,,
justice,Justice,0,false,0,1,1,21,21,1,Social justice,,
world view,World view,0,false,0,2,2,21,21,1,Social justice,,
trust (social sciences),Trust (social sciences),0,false,0,1,1,21,21,1,Social justice,,
probability theory,Probability theory,0,false,0,1,1,21,21,1,Social justice,,
abductive reasoning,Abductive reasoning,0,false,0,1,1,21,21,1,Social justice,,
bayesian network,Bayesian network,0,false,0,1,1,21,21,1,Social justice,,
dempster–shafer theory,Dempster–Shafer theory,0,false,0,1,1,21,21,1,Social justice,,
probabilistic logic,Probabilistic logic,0,false,0,1,1,21,21,1,Social justice,,
bayesian programming,Bayesian programming,0,false,0,1,1,21,21,1,Social justice,,
freeganism,Freeganism,0,false,11,13,24,25,25,1,Goods' recycle,,
waste picker,Waste picker,1,false,6,4,10,25,25,1,Goods' recycle,,
dumpster diving,Dumpster diving,0,false,1,2,3,25,25,1,Goods' recycle,,
gleaning,Gleaning,0,false,1,2,3,25,25,1,Goods' recycle,,
junk man,Junk man,0,false,1,1,2,25,25,1,Goods' recycle,,
tosher,Tosher,2,false,1,0,1,25,25,1,Goods' recycle,,
wp:seealso,WP:SEEALSO,2,false,2,0,2,25,25,1,Goods' recycle,,
secondhand good,Secondhand good,1,false,2,14,16,25,25,1,Goods' recycle,,
food not bombs,Food Not Bombs,0,false,1,1,2,25,25,1,Goods' recycle,,
food rescue,Food rescue,2,false,1,0,1,25,25,1,Goods' recycle,,
food salvage,Food salvage,2,false,1,0,1,25,25,1,Goods' recycle,,
freecycling,Freecycling,2,false,2,0,2,25,25,1,Goods' recycle,,
orchard,Orchard,0,false,1,1,2,25,25,1,Goods' recycle,,
permaculture,Permaculture,2,false,2,0,2,25,25,1,Goods' recycle,,
ragnar benson,Ragnar Benson,2,false,1,0,1,25,25,1,Goods' recycle,,
regiving,Regiving,2,false,2,0,2,25,25,1,Goods' recycle,,
tax resistance,Tax resistance,2,false,1,0,1,25,25,1,Goods' recycle,,
volxkuche,Volxkuche,2,false,1,0,1,25,25,1,Goods' recycle,,
auto auction,Auto auction,2,false,1,0,1,25,25,1,Goods' recycle,,
car boot sale,Car boot sale,2,false,1,0,1,25,25,1,Goods' recycle,,
charity shop,Charity shop,2,false,1,0,1,25,25,1,Goods' recycle,,
flea market,Flea market,2,false,1,0,1,25,25,1,Goods' recycle,,
garage sale,Garage sale,2,false,1,0,1,25,25,1,Goods' recycle,,
regifting,Regifting,2,false,1,0,1,25,25,1,Goods' recycle,,
reseller,Reseller,2,false,1,0,1,25,25,1,Goods' recycle,,
secondary market,Secondary market,2,false,1,0,1,25,25,1,Goods' recycle,,
the market for lemons,The Market for Lemons,2,false,1,0,1,25,25,1,Goods' recycle,,
atomic ed and the black hole,Atomic Ed and the Black Hole,2,false,1,0,1,25,25,1,Goods' recycle,,
documentary film,documentary film,2,false,1,0,1,25,25,1,Goods' recycle,,
hunter-gatherer,Hunter-gatherer,0,false,0,1,1,25,25,1,Goods' recycle,,
soup kitchen,Soup kitchen,0,false,0,1,1,25,25,1,Goods' recycle,,
garbology,Garbology,0,false,0,1,1,25,25,1,Goods' recycle,,
used good,Used good,0,false,0,1,1,25,25,1,Goods' recycle,,
garbage collection,Garbage collection,0,false,0,1,1,25,25,1,Goods' recycle,,
landfill mining,Landfill mining,0,false,0,1,1,25,25,1,Goods' recycle,,
classified advertising,Classified advertising,0,false,0,1,1,25,25,1,Goods' recycle,,
internet of things,Internet of Things,1,false,15,9,24,26,26,1,Internet of things,,
internet of services,Internet of Services,1,false,1,15,16,26,26,1,Internet of things,,
cloud computing security,Cloud computing security,2,false,1,0,1,26,26,1,Internet of things,,
cloud computing comparison,Cloud computing comparison,2,false,1,0,1,26,26,1,Internet of things,,
cloud management,Cloud management,2,false,1,0,1,26,26,1,Internet of things,,
cloud research,Cloud research,2,false,1,0,1,26,26,1,Internet of things,,
cloud storage,Cloud storage,2,false,1,0,1,26,26,1,Internet of things,,
edge computing,Edge computing,2,false,1,0,1,26,26,1,Internet of things,,
fog computing,Fog computing,2,false,1,0,1,26,26,1,Internet of things,,
grid computing,Grid computing,2,false,1,0,1,26,26,1,Internet of things,,
escience,eScience,2,false,1,0,1,26,26,1,Internet of things,,
mobile cloud computing,Mobile cloud computing,2,false,1,0,1,26,26,1,Internet of things,,
personal cloud,Personal cloud,2,false,1,0,1,26,26,1,Internet of things,,
robot as a service,Robot as a Service,2,false,1,0,1,26,26,1,Internet of things,,
service-oriented architecture,Service-Oriented Architecture,2,false,1,0,1,26,26,1,Internet of things,,
ubiquitous computing,Ubiquitous computing,0,false,2,1,3,26,26,1,Internet of things,,
web computing,Web computing,2,false,1,0,1,26,26,1,Internet of things,,
web of things,Web of Things,2,false,1,0,1,26,26,1,Internet of things,,
bluetooth low energy,Bluetooth low energy,2,false,1,0,1,26,26,1,Internet of things,,
cloud manufacturing,Cloud manufacturing,2,false,1,0,1,26,26,1,Internet of things,,
data distribution service,Data Distribution Service,2,false,1,0,1,26,26,1,Internet of things,,
digital object memory,Digital Object Memory,2,false,1,0,1,26,26,1,Internet of things,,
indoor positioning system,Indoor positioning system,2,false,1,0,1,26,26,1,Internet of things,,
open interconnect consortium,Open Interconnect Consortium,2,false,1,0,1,26,26,1,Internet of things,,
semantic web,Semantic web,0,false,1,1,2,26,26,1,Internet of things,,
wearable computer,Wearable computer,0,false,0,1,1,26,26,1,Internet of things,,
radio-frequency identification,Radio-frequency identification,0,false,0,1,1,26,26,1,Internet of things,,
smart device,Smart device,0,false,0,1,1,26,26,1,Internet of things,,
wireless sensor network,Wireless sensor network,0,false,0,1,1,26,26,1,Internet of things,,
hyper text coffee pot control protocol,Hyper Text Coffee Pot Control Protocol,0,false,0,1,1,26,26,1,Internet of things,,
ambient intelligence,Ambient intelligence,0,false,0,1,1,26,26,1,Internet of things,,
object hyperlinking,Object hyperlinking,0,false,0,1,1,26,26,1,Internet of things,,
nabaztag,Nabaztag,0,false,0,1,1,26,26,1,Internet of things,,
intelligent environment,Intelligent environment,0,false,0,1,1,26,26,1,Internet of things,,
logisense,LogiSense,0,false,0,1,1,26,26,1,Internet of things,,
microsoft at work,Microsoft at Work,0,false,0,1,1,26,26,1,Internet of things,,
novell embedded systems technology,Novell Embedded Systems Technology,0,false,0,1,1,26,26,1,Internet of things,,
prosumerism,Prosumerism,1,false,1,3,4,17,17,1,Social commerce,,
cooperative,Cooperative,1,false,4,34,38,17,17,1,Social commerce,,
cost the limit of price,Cost the limit of price,2,false,2,0,2,17,17,1,Social commerce,,
power user,Power user,2,false,1,0,1,17,17,1,Social commerce,,
artist cooperative,Artist cooperative,2,false,1,0,1,17,17,1,Social commerce,,
cooperative economics,Cooperative economics,2,false,1,0,1,17,17,1,Social commerce,,
co-operative living arrangements,Co-operative living arrangements,2,false,1,0,1,17,17,1,Social commerce,,
collective,Collective,2,false,1,0,1,17,17,1,Social commerce,,
commune (intentional community),Commune (intentional community),2,false,1,0,1,17,17,1,Social commerce,,
danish cooperative movement,Danish cooperative movement,2,false,1,0,1,17,17,1,Social commerce,,
democratic socialism,Democratic socialism,2,false,1,0,1,17,17,1,Social commerce,,
employee-owned corporation,Employee-owned corporation,2,false,1,0,1,17,17,1,Social commerce,,
employee share ownership plan,Employee Share Ownership Plan,2,false,1,0,1,17,17,1,Social commerce,,
fc barcelona,FC Barcelona,2,false,1,0,1,17,17,1,Social commerce,,
friendly society,Friendly Society,2,false,1,0,1,17,17,1,Social commerce,,
history of the cooperative movement,History of the cooperative movement,2,false,1,0,1,17,17,1,Social commerce,,
industrial and provident society,Industrial and provident society,2,false,1,0,1,17,17,1,Social commerce,,
microfinance,Microfinance,2,false,1,0,1,17,17,1,Social commerce,,
microcredit,microcredit,2,false,1,0,1,17,17,1,Social commerce,,
mondragón cooperative corporation,Mondragón Cooperative Corporation,2,false,1,0,1,17,17,1,Social commerce,,
mutual aid (politics),Mutual aid (politics),2,false,1,0,1,17,17,1,Social commerce,,
mutual organization,Mutual organization,2,false,1,0,1,17,17,1,Social commerce,,
mutual ownership defense housing division,Mutual Ownership Defense Housing Division,2,false,1,0,1,17,17,1,Social commerce,,
mutualism (economic theory),Mutualism (economic theory),2,false,2,0,2,17,17,1,Social commerce,,
neo-capitalism,Neo-Capitalism,2,false,1,0,1,17,17,1,Social commerce,,
online media cooperative,Online media cooperative,2,false,1,0,1,17,17,1,Social commerce,,
participatory democracy,Participatory democracy,2,false,1,0,1,17,17,1,Social commerce,,
participatory economics,Participatory economics,2,false,1,0,1,17,17,1,Social commerce,,
polytechnic university of the philippines college of cooperatives and social development,Polytechnic University of the Philippines College of Cooperatives and Social Development,2,false,1,0,1,17,17,1,Social commerce,,
friedrich wilhelm raiffeisen,Friedrich Wilhelm Raiffeisen,2,false,1,0,1,17,17,1,Social commerce,,
rochdale principles,Rochdale Principles,2,false,1,0,1,17,17,1,Social commerce,,
social economy,Social economy,2,false,1,0,1,17,17,1,Social commerce,,
social enterprise,Social enterprise,2,false,1,0,1,17,17,1,Social commerce,,
syndicalism,Syndicalism,2,false,1,0,1,17,17,1,Social commerce,,
socialism,Socialism,2,false,1,0,1,17,17,1,Social commerce,,
cooperative stock market,Cooperative Stock Market,2,false,1,0,1,17,17,1,Social commerce,,
corporation,Corporation,0,false,0,1,1,17,17,1,Social commerce,,
business,Business,0,false,0,1,1,17,17,1,Social commerce,,
collective business system,Collective business system,0,false,0,1,1,17,17,1,Social commerce,,
degrowth,Degrowth,0,false,27,22,49,18,18,1,Substainable growght,,
zero growth,Zero growth,1,false,4,13,17,18,18,1,Substainable growght,,
ecological economics,Ecological economics,2,false,2,0,2,18,18,1,Substainable growght,,
club of rome,Club of Rome,2,false,2,0,2,18,18,1,Substainable growght,,
jevons paradox,Jevons paradox,2,false,1,0,1,18,18,1,Substainable growght,,
uneconomic growth,Uneconomic growth,0,false,2,2,4,18,18,1,Substainable growght,,
ecological footprint,Ecological footprint,2,false,1,0,1,18,18,1,Substainable growght,,
population dynamics,Population dynamics,2,false,1,0,1,18,18,1,Substainable growght,,
"sustainability ","Sustainability ",2,false,1,0,1,18,18,1,Substainable growght,,
peak minerals,Peak minerals,2,false,1,0,1,18,18,1,Substainable growght,,
e. f. schumacher,E. F. Schumacher,2,false,1,0,1,18,18,1,Substainable growght,,
kenneth e. boulding,Kenneth E. Boulding,2,false,1,0,1,18,18,1,Substainable growght,,
herman daly,Herman Daly,2,false,1,0,1,18,18,1,Substainable growght,,
"nicholas georgescu-roegen ","Nicholas Georgescu-Roegen ",2,false,1,0,1,18,18,1,Substainable growght,,
a blueprint for survival,A Blueprint for Survival,2,false,1,0,1,18,18,1,Substainable growght,,
anticapitalism,Anticapitalism,2,false,1,0,1,18,18,1,Substainable growght,,
edward goldsmith,Edward Goldsmith,2,false,1,0,1,18,18,1,Substainable growght,,
e. j. mishan,E. J. Mishan,0,false,1,1,2,18,18,1,Substainable growght,,
françois partant,François Partant,2,false,1,0,1,18,18,1,Substainable growght,,
growl,GROWL,2,false,1,0,1,18,18,1,Substainable growght,,
l-shaped recession,L-shaped recession,2,false,1,0,1,18,18,1,Substainable growght,,
the limits to growth,The Limits to Growth,0,false,1,2,3,18,18,1,Substainable growght,,
nicholas georgescu-roegen,Nicholas Georgescu-Roegen,0,false,1,1,2,18,18,1,Substainable growght,,
political ecology,Political ecology,2,false,1,0,1,18,18,1,Substainable growght,,
power down: options and actions for a post-carbon world,Power Down: Options and Actions for a Post-Carbon World,2,false,1,0,1,18,18,1,Substainable growght,,
serge latouche,Serge Latouche,2,false,1,0,1,18,18,1,Substainable growght,,
paradox of thrift,Paradox of thrift,0,false,1,1,2,18,18,1,Substainable growght,,
tim jackson (economist),Tim Jackson (economist),2,false,1,0,1,18,18,1,Substainable growght,,
"wealth, virtual wealth and debt","Wealth, Virtual Wealth and Debt",2,false,1,0,1,18,18,1,Substainable growght,,
the path to degrowth in overdeveloped countries,The Path to Degrowth in Overdeveloped Countries,0,false,1,1,2,18,18,1,Substainable growght,,
deflation,Deflation,0,false,0,1,1,18,18,1,Substainable growght,,
economic growth,Economic growth,0,false,0,1,1,18,18,1,Substainable growght,,
shrinkage,Shrinkage,0,false,0,1,1,18,18,1,Substainable growght,,
productivism,Productivism,0,false,0,1,1,18,18,1,Substainable growght,,
development criticism,Development criticism,0,false,0,1,1,18,18,1,Substainable growght,,
steady-state economy,Steady-state economy,0,false,0,1,1,18,18,1,Substainable growght,,
derek wall,Derek Wall,0,false,0,1,1,18,18,1,Substainable growght,,
arturo escobar (anthropologist),Arturo Escobar (anthropologist),0,false,0,1,1,18,18,1,Substainable growght,,
postdevelopment theory,Postdevelopment theory,0,false,0,1,1,18,18,1,Substainable growght,,
transition town,Transition town,0,false,0,1,1,18,18,1,Substainable growght,,
state of the world 2010: transforming cultures: from consumerism to sustainability,State of the World 2010: Transforming Cultures: From Consumerism to Sustainability,0,false,0,1,1,18,18,1,Substainable growght,,
low-impact development (uk),Low-impact development (UK),0,false,0,1,1,18,18,1,Substainable growght,,
mauro bonaiuti,Mauro Bonaiuti,0,false,0,1,1,18,18,1,Substainable growght,,
zero population growth,Zero population growth,0,false,0,1,1,18,18,1,Substainable growght,,
genuine progress indicator,Genuine Progress Indicator,0,false,28,29,57,11,11,1,Cooperation  policy,,
